ID,Nacimiento,Estado_Civil,Nivel_Educacion,Pais,Ingreso_anual_hogar,Hijos_menores,Hijos_adolescentes,Dias_antiguedad,Monto_Bebidas_Alcoholicas,Monto_Frutas_Verduras,Monto_Carnes,Monto_Pescaderia,Monto_Dulces,Monto_Productos_Premium
10832,1958,Convivencia,Graduado,Spain,"46610,0000",0,0,2965,288,10,30,4,10,125
3025,1958,Soltero_a,Graduado,Canada,"49967,0000",0,1,2945,212,6,69,4,12,3
2404,1976,Casado_a,Graduado,USA,"53359,0000",1,1,3017,173,4,30,3,6,41
8581,1971,Casado_a,Master,Spain,"49505,0000",1,1,3041,604,0,100,19,0,28
8755,1946,Casado_a,Master,Australia,"68657,0000",0,0,3113,482,34,471,119,68,22
10177,1954,Divorciado_a,Graduado,Spain,"72071,0000",0,1,3119,531,69,300,150,138,150
2429,1954,Divorciado_a,Graduado,Canada,"72071,0000",0,1,3119,531,69,300,150,138,150
8920,1967,Soltero_a,Master,India,"59235,0000",1,0,2829,448,40,469,80,0,91
8430,1957,Convivencia,Graduado,Australia,"21994,0000",0,1,3171,9,0,6,3,1,3
8619,1957,Convivencia,Graduado,Spain,"21994,0000",0,1,3171,9,0,6,3,1,3
8996,1957,Casado_a,Doctorado,Alemania,"52247,2514",2,1,3206,230,42,192,49,37,53
7233,1972,Casado_a,Graduado,Canada,"69209,0000",0,0,3269,496,32,849,229,48,128
6678,1989,Convivencia,Graduado,India,"31928,0000",1,0,2712,33,4,24,4,2,5
830,1987,Soltero_a,Doctorado,India,"74004,0000",0,0,2744,784,48,560,42,176,48
6365,1987,Casado_a,Graduado,India,"30390,0000",0,0,3124,10,12,12,25,1,20
6770,1985,Casado_a,Graduado,USA,"21355,0000",1,0,2932,5,13,14,0,5,31
2261,1969,Casado_a,Graduado,Alemania,"26304,0000",1,0,2990,4,1,5,2,0,4
1031,1989,Casado_a,Graduado,India,"85710,0000",0,0,3039,600,20,350,29,30,33
10089,1974,Divorciado_a,Graduado,Arabia_Saudita,"102692,0000",0,0,3040,168,148,444,32,172,148
9256,1971,Soltero_a,Graduado,Spain,"58350,0000",0,1,3073,493,26,206,116,80,80
10641,1978,Soltero_a,Graduado,Spain,"7500,0000",1,1,3168,6,5,4,13,4,25
624,1984,Soltero_a,Master,Arabia_Saudita,"18890,0000",0,0,3245,6,4,1,7,2,15
4211,1986,Casado_a,Secundario,Canada,"20425,0000",1,0,3227,4,12,5,3,16,17
1407,1986,Casado_a,Secundario,Alemania,"20425,0000",1,0,3227,4,12,5,3,16,17
10356,1957,Divorciado_a,Doctorado,Spain,"41437,0000",1,1,3264,29,0,2,0,0,1
9323,1949,Convivencia,Master,Montenegro,"49912,0000",0,1,3339,520,8,223,32,49,42
1146,1949,Convivencia,Master,Australia,"49912,0000",0,1,3339,520,8,223,32,49,42
6343,1959,Casado_a,Graduado,Australia,"79823,0000",0,1,2709,835,73,380,114,73,43
8545,1954,Divorciado_a,Graduado,Spain,"85683,0000",0,0,2719,1296,17,311,45,69,51
8275,1965,Divorciado_a,Doctorado,Spain,"47025,0000",1,1,2554,16,0,3,0,0,1
10673,1976,Casado_a,Doctorado,Arabia_Saudita,"68397,0000",0,1,2843,760,80,466,17,13,80
8799,1984,Casado_a,Doctorado,Spain,"38175,0000",1,0,2898,70,6,69,2,3,3
67,1972,Soltero_a,Master,Spain,"46423,0000",1,1,2903,68,0,16,0,0,8
9923,1972,Soltero_a,Master,Spain,"46423,0000",1,1,2903,68,0,16,0,0,8
2814,1976,Convivencia,Master,Arabia_Saudita,"30560,0000",1,0,2986,9,1,5,4,5,7
2711,1976,Convivencia,Master,Canada,"30560,0000",1,0,2986,9,1,5,4,5,7
4320,1979,Soltero_a,Graduado,Spain,"60152,0000",0,1,3077,325,83,300,86,58,91
10451,1965,Convivencia,Graduado,Arabia_Saudita,"29672,0000",1,1,2827,9,1,3,0,4,8
4198,1965,Convivencia,Graduado,Spain,"29672,0000",1,1,2827,9,1,3,0,4,8
10814,1947,Convivencia,Graduado,Spain,"70321,0000",0,0,3148,303,23,751,82,26,191
944,1962,Casado_a,Graduado,Spain,"56181,0000",0,1,2951,121,103,69,8,44,48
8151,1990,Casado_a,Secundario,Spain,"24279,0000",0,0,3166,16,36,21,20,62,108
6184,1969,Casado_a,Doctorado,Spain,"68462,0000",0,0,3183,561,64,785,84,128,48
3498,1976,Casado_a,Doctorado,Spain,"55424,0000",0,1,3200,462,61,184,10,53,107
2870,1973,Casado_a,Graduado,Spain,"49094,0000",0,1,3265,376,0,38,11,8,69
7342,1961,Viudo_a,Graduado,Spain,"59184,0000",0,1,3277,341,142,113,259,151,66
1911,1987,Convivencia,Graduado,Alemania,"67430,0000",0,0,3400,595,97,291,127,133,121
10862,1960,Casado_a,Master,Spain,"30522,0000",0,1,3300,179,8,83,19,11,26
2546,1977,Soltero_a,Graduado,Spain,"31878,0000",0,1,2626,23,4,5,10,5,23
3005,1992,Soltero_a,Graduado,Spain,"83528,0000",0,0,2794,530,117,678,134,44,147
8318,1979,Convivencia,Graduado,Spain,"90300,0000",0,0,2739,594,134,786,33,134,57
2930,1978,Soltero_a,Master,Arabia_Saudita,"68092,0000",0,0,2814,852,60,207,78,36,48
8216,1972,Casado_a,Master,Australia,"53761,0000",1,1,2850,158,0,76,13,7,71
1212,1973,Casado_a,Graduado,Spain,"52845,0000",1,0,2939,384,25,292,130,41,64
2541,1976,Casado_a,Graduado,Spain,"24027,0000",1,0,2915,14,7,11,11,0,5
10659,1979,Convivencia,Graduado,India,"7500,0000",1,0,2978,2,8,11,3,8,21
10905,1955,Convivencia,Graduado,Spain,"42586,0000",1,1,3227,194,2,56,0,0,0
8910,1955,Convivencia,Graduado,Spain,"42586,0000",1,1,3227,194,2,56,0,0,0
7349,1973,Convivencia,Secundario,Spain,"9722,0000",1,0,3489,6,17,16,6,16,42
7872,1975,Casado_a,Doctorado,Spain,"86836,0000",0,0,3186,179,21,273,0,21,63
4290,1972,Casado_a,Graduado,Canada,"30467,0000",1,0,2721,1,3,8,2,5,5
7408,1952,Casado_a,Doctorado,Arabia_Saudita,"54549,0000",0,1,2737,216,2,6,0,0,9
9986,1982,Convivencia,Graduado,Arabia_Saudita,"19444,0000",1,0,2746,16,0,23,3,2,10
8235,1956,Convivencia,Master,Arabia_Saudita,"69245,0000",0,1,2775,428,30,214,80,30,61
10949,1963,Divorciado_a,Doctorado,Spain,"72968,0000",0,0,2814,1092,37,592,145,37,55
7284,1953,Casado_a,Graduado,Spain,"48686,0000",1,2,3062,10,0,7,2,0,1
9529,1990,Casado_a,Graduado,Arabia_Saudita,"73687,0000",0,0,2832,559,153,503,218,13,181
9930,1944,Soltero_a,Doctorado,Canada,"82716,0000",0,0,3033,606,148,228,15,148,22
10270,1981,Casado_a,Graduado,Alemania,"35523,0000",1,0,3095,11,5,22,12,5,11
760,1975,Divorciado_a,Doctorado,Arabia_Saudita,"60554,0000",1,0,2913,588,7,76,110,15,15
5519,1956,Convivencia,Graduado,Arabia_Saudita,"64090,0000",0,1,2975,316,58,161,76,51,135
232,1965,Soltero_a,Graduado,Spain,"61559,0000",0,1,2966,279,83,88,32,14,34
3009,1962,Viudo_a,Doctorado,Spain,"71670,0000",0,0,2914,1462,16,128,0,0,160
6518,1951,Viudo_a,Doctorado,Australia,"67680,0000",0,1,2854,546,0,48,0,6,6
10669,1981,Casado_a,Graduado,Spain,"54386,0000",0,1,3027,277,21,64,62,21,25
5682,1953,Soltero_a,Doctorado,Australia,"64108,0000",0,1,3082,948,10,86,13,21,21
1570,1951,Convivencia,Doctorado,Spain,"69702,0000",0,1,3114,664,9,240,50,19,57
1497,1952,Soltero_a,Graduado,Arabia_Saudita,"47958,0000",0,1,3145,268,11,88,15,3,22
9723,1960,Casado_a,Graduado,Canada,"67716,0000",0,1,2890,530,142,217,62,9,56
7261,1971,Convivencia,Graduado,Spain,"34600,0000",1,1,3163,199,33,60,8,3,15
2452,1971,Convivencia,Graduado,Spain,"34600,0000",1,1,3163,199,33,60,8,3,15
5621,1969,Casado_a,Graduado,Spain,"48752,0000",1,1,3183,73,57,100,71,15,0
10995,1988,Casado_a,Graduado,Arabia_Saudita,"15716,0000",1,0,3184,16,5,30,8,7,26
7373,1952,Divorciado_a,Doctorado,Australia,"46610,0000",0,2,3227,96,12,96,33,22,43
5331,1977,Casado_a,Graduado,Alemania,"74985,0000",0,0,3216,587,51,898,247,0,86
263,1945,Soltero_a,Doctorado,Spain,"45576,0000",0,0,2651,56,19,29,2,14,25
4619,1945,Soltero_a,Doctorado,Spain,"113734,0000",0,0,2651,6,2,3,1,262,3
940,1987,Soltero_a,Graduado,Arabia_Saudita,"57100,0000",1,0,2661,158,11,99,15,11,17
10084,1972,Casado_a,Graduado,India,"24434,0000",2,0,2661,3,2,8,20,0,17
6019,1971,Casado_a,Doctorado,Spain,"37126,0000",1,0,2710,45,3,9,4,4,7
1463,1958,Soltero_a,Graduado,Australia,"45160,0000",1,1,2711,8,2,5,3,0,3
6424,1977,Convivencia,Graduado,Spain,"33178,0000",1,0,2769,12,6,2,11,2,16
8233,1950,Viudo_a,Master,Canada,"64866,0000",0,1,2773,508,5,21,7,5,10
1515,1975,Convivencia,Master,Canada,"34176,0000",0,1,2777,11,2,7,4,2,2
10855,1968,Soltero_a,Master,Spain,"50014,0000",1,0,2777,234,14,77,19,10,42
10909,1948,Casado_a,Graduado,Australia,"92344,0000",0,0,2784,992,24,694,51,19,119
3376,1970,Divorciado_a,Master,Spain,"55282,0000",1,0,2817,125,6,73,8,4,19
10232,1963,Divorciado_a,Doctorado,Spain,"48799,0000",0,1,3033,174,18,81,28,6,24
5547,1982,Casado_a,Doctorado,Spain,"84169,0000",0,0,2975,1478,19,403,0,19,0
8362,1982,Casado_a,Doctorado,Arabia_Saudita,"84169,0000",0,0,2975,1478,19,403,0,19,0
3524,1971,Soltero_a,Master,Spain,"39763,0000",1,0,3066,80,1,60,4,6,16
10095,1975,Divorciado_a,Doctorado,Canada,"74165,0000",0,0,3159,1001,12,240,16,12,12
8897,1965,Soltero_a,Graduado,Alemania,"42720,0000",1,1,3050,392,5,91,28,26,112
466,1944,Casado_a,Graduado,Spain,"65275,0000",0,0,3101,388,14,218,91,14,21
11025,1961,Casado_a,Graduado,Spain,"36443,0000",1,1,3103,65,0,46,4,3,20
2387,1952,Convivencia,Master,Arabia_Saudita,"43776,0000",1,1,3103,177,2,71,3,2,20
1618,1965,Convivencia,Graduado,Alemania,"56046,0000",0,0,3132,577,0,64,0,0,51
25,1958,Casado_a,Graduado,Canada,"65148,0000",0,1,3209,460,35,422,33,12,153
3277,1955,Divorciado_a,Graduado,Spain,"49431,0000",0,1,3462,219,3,100,26,0,17
8566,1961,Convivencia,Doctorado,Spain,"32583,0000",1,1,2633,5,0,3,0,0,1
2634,1979,Soltero_a,Master,Spain,"16653,0000",1,0,2691,5,7,31,15,4,7
8036,1971,Convivencia,Graduado,Spain,"26850,0000",1,1,2691,31,1,13,7,2,9
8159,1968,Casado_a,Graduado,Spain,"51287,0000",1,1,2795,117,0,22,13,0,30
7628,1973,Casado_a,Graduado,Spain,"43050,0000",1,0,2722,30,5,24,6,3,8
9597,1969,Casado_a,Graduado,Canada,"73448,0000",0,0,2524,236,106,189,23,41,130
1384,1992,Casado_a,Secundario,USA,"17256,0000",1,0,2837,6,4,14,8,8,22
10150,1961,Soltero_a,Graduado,Arabia_Saudita,"86429,0000",0,0,2839,464,28,873,29,18,37
3885,1983,Casado_a,Doctorado,Spain,"33569,0000",1,0,2875,16,2,18,3,0,24
11003,1980,Convivencia,Graduado,Canada,"25130,0000",1,0,3123,2,5,7,0,18,18
8026,1952,Casado_a,Graduado,Canada,"62998,0000",0,1,2891,120,58,73,65,89,58
577,1976,Convivencia,Graduado,Spain,"26907,0000",1,1,2932,9,1,7,0,3,2
8702,1976,Convivencia,Graduado,Australia,"26907,0000",1,1,2932,9,1,7,0,3,2
5429,1948,Casado_a,Doctorado,Spain,"45579,0000",0,1,2932,145,1,33,2,1,1
977,1957,Convivencia,Graduado,Canada,"47320,0000",0,1,3156,200,19,111,50,15,19
2793,1976,Divorciado_a,Doctorado,Arabia_Saudita,"70179,0000",0,1,2962,532,88,168,69,44,133
1071,1976,Divorciado_a,Doctorado,USA,"70179,0000",0,1,2962,532,88,168,69,44,133
5074,1986,Casado_a,Master,Canada,"28072,0000",1,0,2945,30,0,10,2,0,5
2632,1954,Casado_a,Graduado,India,"50501,0000",1,1,2995,297,0,38,13,0,152
6404,1969,Convivencia,Graduado,Arabia_Saudita,"58917,0000",1,2,3081,151,7,89,0,7,28
10240,1949,Convivencia,Graduado,Canada,"69372,0000",0,0,3114,997,26,269,34,13,42
2521,1971,Casado_a,Master,Spain,"35178,0000",1,0,2890,23,1,13,2,2,18
4301,1971,Casado_a,Master,Australia,"35178,0000",1,0,2890,23,1,13,2,2,18
7381,1968,Divorciado_a,Graduado,Spain,"75693,0000",0,0,3366,797,153,293,72,97,30
2407,1982,Casado_a,Graduado,USA,"69109,0000",0,0,3275,823,25,459,124,29,95
9064,1982,Casado_a,Graduado,Spain,"69109,0000",0,0,3275,823,25,459,124,29,95
5067,1994,Convivencia,Graduado,Spain,"80134,0000",0,0,2754,966,26,282,52,26,26
10281,1970,Divorciado_a,Graduado,Australia,"64713,0000",1,0,2616,180,60,241,13,54,54
11191,1986,Divorciado_a,Graduado,Spain,"41411,0000",0,0,2971,37,32,38,11,3,18
1994,1983,Casado_a,Graduado,USA,"52247,2514",1,0,2845,5,5,6,0,2,1
2552,1955,Soltero_a,Doctorado,Spain,"55521,0000",1,2,2869,416,0,26,0,0,4
6720,1968,Convivencia,Master,Spain,"43795,0000",0,1,2875,314,11,53,4,3,107
4557,1970,Convivencia,Graduado,Arabia_Saudita,"22070,0000",1,0,3064,10,7,19,8,2,21
1183,1949,Casado_a,Master,Alemania,"36408,0000",1,1,2900,9,1,4,3,2,3
4186,1950,Convivencia,Graduado,Canada,"34026,0000",1,1,3036,18,6,15,12,8,17
1419,1950,Convivencia,Graduado,Spain,"34026,0000",1,1,3036,18,6,15,12,8,17
967,1976,Casado_a,Graduado,Spain,"46049,0000",1,1,2962,342,9,112,19,14,19
1048,1972,Casado_a,Master,Arabia_Saudita,"35641,0000",1,0,2969,63,3,67,8,9,28
9262,1984,Convivencia,Graduado,Arabia_Saudita,"32414,0000",0,0,3067,20,6,5,0,9,12
3427,1955,Casado_a,Doctorado,Arabia_Saudita,"59821,0000",0,1,2826,629,0,70,0,0,35
5892,1980,Casado_a,Graduado,Arabia_Saudita,"34968,0000",1,0,2887,158,6,45,8,2,2
8911,1967,Casado_a,Doctorado,Spain,"56320,0000",0,1,2948,201,53,172,116,77,83
6606,1969,Casado_a,Master,Spain,"70091,0000",1,0,3074,964,34,137,15,0,11
2677,1956,Convivencia,Graduado,Arabia_Saudita,"46097,0000",0,1,3074,72,24,68,65,4,8
252,1963,Divorciado_a,Doctorado,Arabia_Saudita,"41003,0000",0,0,3088,123,133,142,71,44,88
9860,1959,Convivencia,Graduado,Spain,"44911,0000",0,1,3090,159,0,22,2,1,31
1388,1975,Soltero_a,Graduado,Australia,"33249,0000",1,0,3113,6,10,21,19,14,42
979,1975,Soltero_a,Graduado,Spain,"33249,0000",1,0,3113,6,10,21,19,14,42
7494,1950,Divorciado_a,Doctorado,Canada,"42873,0000",1,1,3143,209,0,40,3,2,15
10490,1969,Casado_a,Doctorado,Australia,"51039,0000",1,1,3244,100,64,79,65,0,109
3403,1958,Convivencia,Doctorado,Spain,"78952,0000",0,1,3262,1170,19,594,99,76,134
2715,1966,Divorciado_a,Master,Canada,"29435,0000",1,1,3370,70,3,37,4,2,64
